scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/pacific-beverages-radler-bottle-330ml_2619481,2619481,9.32E+12,Pacific,Beverages Radler Bottle 330mL,37,Pack (24),,,,TRUE,4.6,5,Radler,,Bottle,0.6,2.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/cricketers-arms-session-ale-can-375ml_3000925,3000925,9.32998E+12,Cricketers Arms,Session Ale Can 375mL,45,Pack (24),,,,TRUE,,0,Ale,Ale,Can,1.1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/bentspoke-crankshaft-ipa-can-375ml_3359896,3359896,9.35025E+12,BentSpoke,Bentspoke Crankshaft IPA Can 375mL,93,Pack (24),,,,TRUE,5,1,,IPA,Can,1.8,5.80%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/somersby-blackberry-bottle-330ml_2589289,2589289,9.32998E+12,Somersby,Blackberry Bottle 330mL,81,Pack (24),,,55,TRUE,,0,Other Cider,,Bottle,1.1,4.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/rekorderlig-wild-berries-cider-bottle-330ml_2113154,2113154,7.3111E+12,Rekorderlig,Wild Berries Cider Bottle 330mL,22,Pack (4),,,25,TRUE,,0,,,Bottle,1.1,4.00%,No,Sweden
10/8/2021,https://www.liquorland.com.au/beer/sapporo-black-can-650ml_4191862,4191862,87975066507,Sapporo,Black Can 650mL,,Pack (24),,,,TRUE,5,1,,Dark Larger,Can,2.6,5.00%,No,Viet Nam
10/8/2021,https://www.liquorland.com.au/beer/fat-pixie-hard-apple-cider-can-375ml_3351114,3351114,9.32396E+12,Fat Pixie,Hard Apple Cider Can 375mL,58,Pack (24),,,46,TRUE,5,1,Apple Cider,,Can,2.4,8.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/fat-pixie-lower-sugar-strawberry-lime-cider-can-375ml_3640235,3640235,9.32396E+12,Fat Pixie,Lower Sugar Strawberry & Lime Cider Can 375mL,58,Pack (24),,,46,TRUE,,0,Flavoured Cider,,Can,2.4,8.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/matso-s-ginger-beer-bottle-330ml_7715530,7715530,9.33885E+12,Matso's,Ginger Beer Bottle 330mL,30,Pack (6),,,,TRUE,5,3,Ginger Beer,Ginger Beer,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/smithy-s-mid-strength-bottle-330ml_4310961,4310961,9.31394E+12,Smithy's,Mid Strength Bottle 330mL,42,Pack (24),,,,TRUE,4.4,5,Mid Strength,Mid Strength,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/sapporo-can-650ml_382755,382755,8.93606E+12,Sapporo,Can 650mL,,Pack (24),,,,TRUE,3,2,Draught,Draught,Can,2.7,5.20%,No,Viet Nam
